Job_id,Job_Title,Company,Skill,Experience,No_of_Skills,Lang_score,stars,Age,Link
1,Data Scientist,Express Scripts,"{SAP, SQL}","{5, 5}",2,"{0.5, 0.5}",3.299999952,1,https://www.indeed.com/rc/clk?jk=6a105f495c36afe3&fccid=281a27deb89bbe92&vjs=3
2,Data Scientist,Money Mart Financial Services,"{Machine Learning, R, SAS, SQL, Python}","{4, 4, 1, 2, 2}",5,"{0.3076923076923077, 0.3076923076923077, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385}",,15,https://www.indeed.com/rc/clk?jk=86afd561ea8c60bc&fccid=b584cf601069b5d0&vjs=3
3,Data Scientist,comScore,"{Data Mining, Data Management, R, SAS, SQL, STATA, SPSS, Data Analysis, Python}","{4, 1, 2, 1, 3, 5, 2, 3, 4}",9,"{0.16, 0.04, 0.08, 0.04, 0.12, 0.2, 0.08, 0.12, 0.16}",3.5,1,https://www.indeed.com/rc/clk?jk=e0aad317e6d45d9b&fccid=b39fb6f124ce8586&vjs=3
4,Graduate Studies Program - Data Scientist,Central Intelligence Agency,{Certified Internal Auditor},{5},1,{1.0},4.300000191,30,https://www.indeed.com/rc/clk?jk=1cfdd9e391a6328a&fccid=e9870e3159e9c6ac&vjs=3
5,Data Scientist I,Federal Reserve Bank of Dallas,"{Statistical Software, Time Management, R, Microsoft Office, Excel, Tableau, Data Science}","{2, 4, 5, 1, 4, 2, 4}",7,"{0.09090909090909091, 0.18181818181818182, 0.22727272727272727, 0.045454545454545456, 0.18181818181818182, 0.09090909090909091, 0.18181818181818182}",4.099999905,30,https://www.indeed.com/rc/clk?jk=fec647775a21ecc6&fccid=2c6850e24c8a2811&vjs=3
6,Data Scientist - Entry to Experienced Level,National Security Agency,"{AI, Quantitative Analysis, Data Mining, Machine Learning, Analysis Skills, CSS}","{2, 2, 1, 4, 5, 2}",6,"{0.125, 0.125, 0.0625, 0.25, 0.3125, 0.125}",4.300000191,30,https://www.indeed.com/rc/clk?jk=835a2db493898f25&fccid=e8f18ca6180ec8da&vjs=3
7,Geospatial Data Scientist,NYC Careers,"{Statistical Software, Machine Learning, R, Image Processing, SQL, Cloud Computing, ArcGIS, GIS, Python, AWS}","{1, 1, 4, 4, 3, 5, 1, 4, 2, 4}",10,"{0.034482758620689655, 0.034482758620689655, 0.13793103448275862, 0.13793103448275862, 0.10344827586206896, 0.1724137931034483, 0.034482758620689655, 0.13793103448275862, 0.06896551724137931, 0.13793103448275862}",3.799999952,5,https://www.indeed.com/rc/clk?jk=6255c4e94a7efa27&fccid=4500f579ddd13a3b&vjs=3
8,Data Scientist,OM Partners,"{Machine Learning, R, SQL}","{2, 2, 3}",3,"{0.2857142857142857, 0.2857142857142857, 0.42857142857142855}",,10,https://www.indeed.com/rc/clk?jk=f30ab3f52226b156&fccid=291c4b8251ea1163&vjs=3
9,Bioinformatics Data Scientist,University of Idaho,"{Linux, R, C/C++, Python}","{4, 1, 3, 1}",4,"{0.4444444444444444, 0.1111111111111111, 0.3333333333333333, 0.1111111111111111}",4.199999809,1,https://www.indeed.com/rc/clk?jk=a6e45b6264f26b10&fccid=95ffa1338c01d3de&vjs=3
10,Data Scientist,usajobs.gov,"{JavaScript, Data Mining, TS/SCI Clearance, R, C/C++, Python}","{5, 1, 3, 4, 4, 4}",6,"{0.23809523809523808, 0.047619047619047616, 0.14285714285714285, 0.19047619047619047, 0.19047619047619047, 0.19047619047619047}",4.300000191,22,https://www.indeed.com/rc/clk?jk=56090c965b57d1c4&fccid=ca509b164585637a&vjs=3
11,Data Scientist,The University of Pittsburgh,"{Machine Learning, R, SPSS, Data Analysis, Statistical Software, Data Mining, SAS, Python}","{5, 4, 2, 5, 2, 4, 3, 4}",8,"{0.1724137931034483, 0.13793103448275862, 0.06896551724137931, 0.1724137931034483, 0.06896551724137931, 0.13793103448275862, 0.10344827586206896, 0.13793103448275862}",4.199999809,1,https://www.indeed.com/rc/clk?jk=8c8963cb38cd4907&fccid=1f92178814b05d89&vjs=3
12,Data Scientist,The University of Pittsburgh,"{Machine Learning, R, SPSS, Data Analysis, Statistical Software, Data Mining, SAS, Python}","{1, 3, 5, 4, 2, 4, 3, 4}",8,"{0.038461538461538464, 0.11538461538461539, 0.19230769230769232, 0.15384615384615385, 0.07692307692307693, 0.15384615384615385, 0.11538461538461539, 0.15384615384615385}",4.199999809,1,https://www.indeed.com/rc/clk?jk=dffcee22fbc2647a&fccid=1f92178814b05d89&vjs=3
13,Data Scientist,Rice University,"{Machine Learning, Analysis Skills, Data Science}","{4, 4, 4}",3,"{0.3333333333333333, 0.3333333333333333, 0.3333333333333333}",4.300000191,30,https://www.indeed.com/rc/clk?jk=290bda935f2dacf6&fccid=a3d79a6d43cd3473&vjs=3
14,Jr. Data Scientist - Machine Learning,Elev8 Hire Solutions,"{Machine Learning, Python}","{5, 1}",2,"{0.8333333333333334, 0.16666666666666666}",,6,https://www.indeed.com/rc/clk?jk=8c2855de0feec361&fccid=918f9b74accbe201&vjs=3
15,Data Scientist,Catalina Marketing,"{TensorFlow, Project Planning, Linux, Machine Learning, C/C++, Python, Jira}","{1, 5, 5, 4, 2, 1, 5}",7,"{0.043478260869565216, 0.21739130434782608, 0.21739130434782608, 0.17391304347826086, 0.08695652173913043, 0.043478260869565216, 0.21739130434782608}",3.200000048,30,https://www.indeed.com/rc/clk?jk=ba1b24901c04182c&fccid=7cb8926c790321ab&vjs=3
16,Enrollment Data Scientist & Econometrician,Florida Polytechnic University,"{Machine Learning, R, Statisical Analysis, SPSS, Statistical Software, Data Mining, Scala, Tableau, Java, ""Drivers License"", Python}","{5, 4, 2, 2, 3, 1, 4, 4, 3, 3, 1}",11,"{0.15625, 0.125, 0.0625, 0.0625, 0.09375, 0.03125, 0.125, 0.125, 0.09375, 0.09375, 0.03125}",3.900000095,1,https://www.indeed.com/rc/clk?jk=392a25a4538255e0&fccid=dc35d3f5eff3380a&vjs=3
17,Junior Data Scientist,Achievement Network (ANet),"{Machine Learning, R, SQL, Analysis Skills, Python, Data Science}","{4, 5, 4, 3, 2, 3}",6,"{0.19047619047619047, 0.23809523809523808, 0.19047619047619047, 0.14285714285714285, 0.09523809523809523, 0.14285714285714285}",,30,https://www.indeed.com/rc/clk?jk=31ae275f05456ffc&fccid=1c0efdb7854b6585&vjs=3
